Date,Order_ID,Product,Category,Sales,Profit,Quantity,Discount,Region,Customer_Segment,Payment_Method
2024-01-01,ORD-1001,Wireless Headphones,Electronics,149.99,45.00,1,0.0,North,Consumer,Credit Card
2024-01-02,ORD-1002,Ergonomic Chair,Furniture,299.50,85.20,2,0.1,West,Corporate,PayPal
2024-01-03,ORD-1003,Mechanical Keyboard,Electronics,89.99,28.50,1,0.0,East,Consumer,Credit Card
2024-01-04,ORD-1004,Standing Desk,Furniture,450.00,110.00,1,0.05,South,Corporate,Bank Transfer
2024-01-05,ORD-1005,Bluetooth Speaker,Electronics,59.99,18.00,3,0.15,North,Home Office,Credit Card
2024-01-06,ORD-1006,UltraWide Monitor,Electronics,499.99,140.00,1,0.0,West,Consumer,Credit Card
2024-01-07,ORD-1007,Leather Journal,Office Supplies,24.99,10.50,4,0.0,East,Consumer,Debit Card
2024-01-08,ORD-1008,USB-C Docking Station,Electronics,129.00,38.70,2,0.1,South,Corporate,Credit Card
2024-01-09,ORD-1009,Filing Cabinet,Furniture,180.00,42.00,1,0.0,North,Home Office,PayPal
2024-01-10,ORD-1010,Gel Pens Set,Office Supplies,12.50,5.20,5,0.0,West,Consumer,Credit Card
2024-01-11,ORD-1011,Noise Cancelling Earbuds,Electronics,199.99,65.00,1,0.05,East,Corporate,Credit Card
2024-01-12,ORD-1012,Monitor Stand,Furniture,45.00,14.00,2,0.0,South,Consumer,Debit Card
2024-01-13,ORD-1013,Paper Shredder,Office Supplies,75.00,21.00,1,0.1,North,Corporate,Credit Card
2024-01-14,ORD-1014,Smart Watch,Electronics,249.99,70.00,1,0.0,West,Home Office,Credit Card
2024-01-15,ORD-1015,Desk Organizer,Office Supplies,18.99,7.50,2,0.0,East,Consumer,PayPal
2024-01-16,ORD-1016,Wireless Mouse,Electronics,29.99,9.50,3,0.1,South,Consumer,Credit Card
2024-01-17,ORD-1017,LED Desk Lamp,Furniture,39.99,12.80,1,0.0,North,Home Office,Credit Card
2024-01-18,ORD-1018,External Hard Drive,Electronics,99.99,31.00,2,0.05,West,Corporate,Bank Transfer
2024-01-19,ORD-1019,Notebook Pack,Office Supplies,15.00,6.00,10,0.2,East,Consumer,Credit Card
2024-01-20,ORD-1020,Webcam 4K,Electronics,119.99,35.00,1,0.0,South,Home Office,Credit Card
2024-01-21,ORD-1021,Ergonomic Chair,Furniture,299.50,85.20,1,0.0,North,Corporate,Credit Card
2024-01-22,ORD-1022,Wireless Headphones,Electronics,149.99,45.00,2,0.1,West,Consumer,PayPal
2024-01-23,ORD-1023,Whiteboard,Office Supplies,55.00,16.50,1,0.0,East,Corporate,Credit Card
2024-01-24,ORD-1024,Gaming Laptop,Electronics,1299.99,320.00,1,0.05,South,Consumer,Credit Card
2024-01-25,ORD-1025,Office Desk,Furniture,350.00,90.00,1,0.0,North,Home Office,Bank Transfer
2024-01-26,ORD-1026,Heavy Duty Stapler,Office Supplies,,8.00,2,0.0,West,Consumer,Credit Card
2024-01-27,ORD-1027,Wireless Router,Electronics,89.99,25.00,1,0.1,East,Corporate,Credit Card
2024-01-28,ORD-1028,Desk Pad,Office Supplies,22.00,8.50,3,0.0,South,Consumer,PayPal
2024-01-29,ORD-1029,Bookshelf,Furniture,210.00,55.00,1,0.05,North,Home Office,Credit Card
2024-01-30,ORD-1030,Laser Printer,Electronics,279.99,75.00,1,0.0,West,Corporate,Credit Card
2024-01-30,ORD-1030,Laser Printer,Electronics,279.99,75.00,1,0.0,West,Corporate,Credit Card
2024-02-01,ORD-1031,Smart Speaker,Electronics,79.99,22.00,2,0.0,East,Consumer,Credit Card
2024-02-02,ORD-1032,Executive Leather Chair,Furniture,420.00,115.00,1,0.1,South,Corporate,Bank Transfer
2024-02-03,ORD-1033,Sticky Notes Pack,Office Supplies,9.99,4.20,10,0.0,North,Consumer,Credit Card
2024-02-04,ORD-1034,USB Flash Drive,Electronics,19.99,7.00,5,0.15,West,Consumer,PayPal
2024-02-05,ORD-1035,Adjustable Footrest,Furniture,34.99,11.00,2,0.0,East,Home Office,Credit Card
2024-02-06,ORD-1036,Highlighter Set,Office Supplies,8.50,3.50,4,0.0,South,Consumer,Credit Card
2024-02-07,ORD-1037,Portable SSD 1TB,Electronics,109.99,32.00,1,0.05,North,Corporate,Credit Card
2024-02-08,ORD-1038,Desk Fan,Office Supplies,25.00,7.80,2,0.0,West,Home Office,Debit Card
2024-02-09,ORD-1039,Ergonomic Mouse Pad,Office Supplies,14.99,5.50,3,0.0,East,Consumer,Credit Card
2024-02-10,ORD-1040,Noise Cancelling Headphones,Electronics,299.99,90.00,1,0.1,South,Corporate,Credit Card
2024-02-11,ORD-1041,Standing Desk Converter,Furniture,199.00,52.00,1,0.0,North,Home Office,Bank Transfer
2024-02-12,ORD-1042,Cable Management Kit,Office Supplies,16.50,6.20,3,0.0,West,Consumer,Credit Card
2024-02-13,ORD-1043,4K Monitor 27 inch,Electronics,349.99,95.00,1,0.05,East,Corporate,Credit Card
2024-02-14,ORD-1044,Thermal Coffee Mug,Office Supplies,29.99,10.00,2,0.0,South,Consumer,PayPal
2024-02-15,ORD-1045,Mesh Task Chair,Furniture,159.00,42.00,1,0.1,North,Consumer,Credit Card
2024-02-16,ORD-1046,Ring Light,Electronics,45.00,15.00,2,0.0,West,Home Office,Credit Card
2024-02-17,ORD-1047,Filing Folders,Office Supplies,18.00,6.50,5,0.0,East,Corporate,Debit Card
2024-02-18,ORD-1048,Bluetooth Keyboard,Electronics,49.99,15.50,1,0.0,South,Consumer,Credit Card
2024-02-19,ORD-1049,Electric Standing Desk,Furniture,599.00,160.00,1,0.1,North,Corporate,Bank Transfer
2024-02-20,ORD-1050,Wireless Charger,Electronics,29.99,10.00,2,0.0,West,Consumer,Credit Card
